team_id,abbreviation,city,arena,latitude,longitude,timezone
1610612737,ATL,Atlanta,State Farm Arena,33.7573,-84.3963,America/New_York
1610612738,BOS,Boston,TD Garden,42.3662,-71.0621,America/New_York
1610612751,BKN,Brooklyn,Barclays Center,40.6826,-73.9754,America/New_York
1610612766,CHA,Charlotte,Spectrum Center,35.2251,-80.8392,America/New_York
1610612741,CHI,Chicago,United Center,41.8807,-87.6742,America/Chicago
1610612739,CLE,Cleveland,Rocket Mortgage FieldHouse,41.4965,-81.6882,America/New_York
1610612742,DAL,Dallas,American Airlines Center,32.7905,-96.8103,America/Chicago
1610612743,DEN,Denver,Ball Arena,39.7487,-105.0077,America/Denver
1610612765,DET,Detroit,Little Caesars Arena,42.3410,-83.0550,America/New_York
1610612744,GSW,San Francisco,Chase Center,37.7680,-122.3877,America/Los_Angeles
1610612745,HOU,Houston,Toyota Center,29.7508,-95.3621,America/Chicago
1610612754,IND,Indianapolis,Gainbridge Fieldhouse,39.7640,-86.1555,America/Indiana/Indianapolis
1610612746,LAC,Inglewood,Intuit Dome,33.9459,-118.3421,America/Los_Angeles
1610612747,LAL,Los Angeles,Crypto.com Arena,34.0430,-118.2673,America/Los_Angeles
1610612763,MEM,Memphis,FedExForum,35.1382,-90.0505,America/Chicago
1610612748,MIA,Miami,Kaseya Center,25.7814,-80.1870,America/New_York
1610612749,MIL,Milwaukee,Fiserv Forum,43.0451,-87.9172,America/Chicago
1610612750,MIN,Minneapolis,Target Center,44.9795,-93.2761,America/Chicago
1610612740,NOP,New Orleans,Smoothie King Center,29.9490,-90.0821,America/Chicago
1610612752,NYK,New York,Madison Square Garden,40.7505,-73.9934,America/New_York
1610612760,OKC,Oklahoma City,Paycom Center,35.4634,-97.5151,America/Chicago
1610612753,ORL,Orlando,Kia Center,28.5392,-81.3839,America/New_York
1610612755,PHI,Philadelphia,Wells Fargo Center,39.9012,-75.1720,America/New_York
1610612756,PHX,Phoenix,Footprint Center,33.4457,-112.0712,America/Phoenix
1610612757,POR,Portland,Moda Center,45.5316,-122.6668,America/Los_Angeles
1610612758,SAC,Sacramento,Golden 1 Center,38.5802,-121.4997,America/Los_Angeles
1610612759,SAS,San Antonio,Frost Bank Center,29.4269,-98.4375,America/Chicago
1610612761,TOR,Toronto,Scotiabank Arena,43.6435,-79.3791,America/Toronto
1610612762,UTA,Salt Lake City,Delta Center,40.7683,-111.9011,America/Denver
1610612764,WAS,Washington,Capital One Arena,38.8981,-77.0209,America/New_York
